session_day,overnight_ret,rth_ret,pred,target_sign
2026-07-07,-0.011779,-0.005888,1,-1
2026-07-08,-0.007402,0.006447,1,1
2026-07-09,0.012104,0.006219,-1,1
2026-07-10,-0.003199,0.007843,1,1
2026-07-13,-0.011931,-0.009408,1,-1
2026-07-14,0.01292,-0.000545,-1,-1
2026-07-15,0.005378,-0.008246,-1,-1
2026-07-16,-0.008138,-0.009765,1,-1
2026-07-17,-0.019621,0.005689,1,1
2026-07-20,0.009542,-0.009142,-1,-1
2026-07-21,0.015472,0.002293,-1,1
2026-07-22,-0.006871,0.002759,1,1
2026-07-23,-0.015462,0.000792,1,1
2026-07-24,-0.006985,-0.008173,1,-1
2026-07-27,0.010051,-0.013326,-1,-1
2026-07-28,-0.009181,0.000304,1,1
2026-07-29,-0.001601,-0.023473,1,-1
2026-07-30,0.022625,0.016394,-1,1
2026-07-31,0.008576,-0.010236,-1,-1
2026-08-03,0.00472,0.018008,-1,1
2026-08-04,0.010543,0.020002,-1,1
2026-08-05,0.005248,-0.012702,-1,-1
2026-08-06,-0.008785,0.005787,1,1
2026-08-07,0.007118,0.004257,-1,1
2026-08-10,-0.00119,-0.001401,1,-1
2026-08-11,0.002537,-0.006434,-1,-1
2026-08-12,0.01162,-0.006152,-1,-1
2026-08-13,0.003489,0.010197,-1,1
2026-08-14,0.000836,-0.002869,-1,-1
2026-08-17,0.002122,-0.004583,-1,-1
2026-08-18,-0.012949,-0.004404,1,-1
2026-08-19,0.004609,-0.004622,-1,-1
2026-08-20,-0.007045,-0.00115,1,-1
2026-08-21,0.005253,-0.003427,-1,-1
2026-08-24,-0.00458,-0.003574,1,-1
2026-08-25,0.005638,-0.000282,-1,-1
2026-08-26,-0.00385,0.008801,1,1
2026-08-27,0.003151,0.003777,-1,1
2026-08-28,-0.000245,-0.004,1,-1
2026-08-31,-0.002414,0.002828,1,1
2026-09-01,-0.01388,0.000936,1,1
2026-09-02,-0.001398,0.001538,1,1
