id,trade_date,session,plan_id,version,prompt_hash,void_count,stop_floor_pts,atr5m,stop_floor_mlt,bias_ai,bias_tree,bias_regime,tokens_in,scope_since_ms,scope_bars,scope_intv,created_at
1,2026-09-03,ASIA,,0,a28d83f159084145,18,20.220045727106623,13.480030484737748,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 05:00:56.789821087+00:00
2,2026-09-03,ASIA,,0,a28d83f159084145,13,31.7702404634836,21.180160308989066,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 05:30:56.646475494+00:00
3,2026-09-03,LONDON,,0,a28d83f159084145,18,33.1531643563856,22.102109570923734,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 06:30:56.445000524+00:00
4,2026-09-03,NY,,0,a28d83f159084145,16,43.52311191057872,29.015407940385813,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 13:00:54.901118232+00:00
5,2026-09-03,LONDON,,0,a28d83f159084145,14,43.37222711650219,28.914818077668123,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 13:06:54.87814869+00:00
6,2026-09-03,NY,,0,a28d83f159084145,14,54.61191683452246,36.407944556348305,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 13:36:54.786850044+00:00
7,2026-09-03,NY,,0,a28d83f159084145,20,67.6463281653098,45.09755211020653,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 14:06:54.682659757+00:00
8,2026-09-03,NY,,0,a28d83f159084145,18,70.80553319334638,47.203688795564254,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 14:38:54.576697912+00:00
9,2026-09-03,NY,,0,a28d83f159084145,19,72.60753557529003,48.40502371686002,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 15:10:54.42821407+00:00
10,2026-09-03,NY,,0,a28d83f159084145,21,60.88209796629808,40.58806531086539,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 15:45:01.061941686+00:00
11,2026-09-03,NY,,0,a28d83f159084145,18,48.69162665697338,32.46108443798226,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 16:20:33.304865215+00:00
12,2026-09-03,ASIA,,0,a28d83f159084145,22,19.114066963691144,12.74271130912743,1.5,,,up/NORMAL,0,1788386400000,2000,1m,2026-09-03 21:30:21.037865295+00:00
