caller_id	path	line	callee_expression	resolution
agent/active_session.go:37:1:activeSkillSessionKey	agent/active_session.go	38	fmt.Sprintf	syntax-only; target not type-resolved
agent/active_session.go:41:1:pendingProposalSessionKey	agent/active_session.go	42	fmt.Sprintf	syntax-only; target not type-resolved
agent/active_session.go:45:1:getActiveSkillSession	agent/active_session.go	49	a.store.GetSystemConfig	syntax-only; target not type-resolved
agent/active_session.go:45:1:getActiveSkillSession	agent/active_session.go	49	activeSkillSessionKey	syntax-only; target not type-resolved
agent/active_session.go:45:1:getActiveSkillSession	agent/active_session.go	50	strings.TrimSpace	syntax-only; target not type-resolved
agent/active_session.go:45:1:getActiveSkillSession	agent/active_session.go	54	json.Unmarshal	syntax-only; target not type-resolved
agent/active_session.go:45:1:getActiveSkillSession	agent/active_session.go	54	[]byte	syntax-only; target not type-resolved
agent/active_session.go:45:1:getActiveSkillSession	agent/active_session.go	60	normalizePendingHint	syntax-only; target not type-resolved
agent/active_session.go:64:1:saveActiveSkillSession	agent/active_session.go	68	normalizePendingHint	syntax-only; target not type-resolved
agent/active_session.go:64:1:saveActiveSkillSession	agent/active_session.go	69	time.Now().UTC().Format	syntax-only; target not type-resolved
agent/active_session.go:64:1:saveActiveSkillSession	agent/active_session.go	69	time.Now().UTC	syntax-only; target not type-resolved
agent/active_session.go:64:1:saveActiveSkillSession	agent/active_session.go	69	time.Now	syntax-only; target not type-resolved
agent/active_session.go:64:1:saveActiveSkillSession	agent/active_session.go	70	json.Marshal	syntax-only; target not type-resolved
agent/active_session.go:64:1:saveActiveSkillSession	agent/active_session.go	71	a.store.SetSystemConfig	syntax-only; target not type-resolved
agent/active_session.go:64:1:saveActiveSkillSession	agent/active_session.go	71	activeSkillSessionKey	syntax-only; target not type-resolved
agent/active_session.go:64:1:saveActiveSkillSession	agent/active_session.go	71	string	syntax-only; target not type-resolved
agent/active_session.go:74:1:clearActiveSkillSession	agent/active_session.go	78	a.store.SetSystemConfig	syntax-only; target not type-resolved
agent/active_session.go:74:1:clearActiveSkillSession	agent/active_session.go	78	activeSkillSessionKey	syntax-only; target not type-resolved
agent/active_session.go:81:1:getPendingProposalSession	agent/active_session.go	85	a.store.GetSystemConfig	syntax-only; target not type-resolved
agent/active_session.go:81:1:getPendingProposalSession	agent/active_session.go	85	pendingProposalSessionKey	syntax-only; target not type-resolved
agent/active_session.go:81:1:getPendingProposalSession	agent/active_session.go	86	strings.TrimSpace	syntax-only; target not type-resolved
agent/active_session.go:81:1:getPendingProposalSession	agent/active_session.go	90	json.Unmarshal	syntax-only; target not type-resolved
agent/active_session.go:81:1:getPendingProposalSession	agent/active_session.go	90	[]byte	syntax-only; target not type-resolved
agent/active_session.go:81:1:getPendingProposalSession	agent/active_session.go	93	strings.TrimSpace	syntax-only; target not type-resolved
agent/active_session.go:99:1:savePendingProposalSession	agent/active_session.go	103	time.Now().UTC().Format	syntax-only; target not type-resolved
agent/active_session.go:99:1:savePendingProposalSession	agent/active_session.go	103	time.Now().UTC	syntax-only; target not type-resolved
agent/active_session.go:99:1:savePendingProposalSession	agent/active_session.go	103	time.Now	syntax-only; target not type-resolved
agent/active_session.go:99:1:savePendingProposalSession	agent/active_session.go	104	json.Marshal	syntax-only; target not type-resolved
agent/active_session.go:99:1:savePendingProposalSession	agent/active_session.go	105	a.store.SetSystemConfig	syntax-only; target not type-resolved
agent/active_session.go:99:1:savePendingProposalSession	agent/active_session.go	105	pendingProposalSessionKey	syntax-only; target not type-resolved
agent/active_session.go:99:1:savePendingProposalSession	agent/active_session.go	105	string	syntax-only; target not type-resolved
agent/active_session.go:108:1:clearPendingProposalSession	agent/active_session.go	112	a.store.SetSystemConfig	syntax-only; target not type-resolved
agent/active_session.go:108:1:clearPendingProposalSession	agent/active_session.go	112	pendingProposalSessionKey	syntax-only; target not type-resolved
agent/active_session.go:115:1:newActiveSkillSession	agent/active_session.go	117	fmt.Sprintf	syntax-only; target not type-resolved
agent/active_session.go:115:1:newActiveSkillSession	agent/active_session.go	117	time.Now().UnixNano	syntax-only; target not type-resolved
agent/active_session.go:115:1:newActiveSkillSession	agent/active_session.go	117	time.Now	syntax-only; target not type-resolved
agent/active_session.go:115:1:newActiveSkillSession	agent/active_session.go	125	time.Now().UTC().Format	syntax-only; target not type-resolved
agent/active_session.go:115:1:newActiveSkillSession	agent/active_session.go	125	time.Now().UTC	syntax-only; target not type-resolved
agent/active_session.go:115:1:newActiveSkillSession	agent/active_session.go	125	time.Now	syntax-only; target not type-resolved
agent/active_session.go:129:1:normalizePendingHint	agent/active_session.go	133	strings.TrimSpace	syntax-only; target not type-resolved
agent/active_session.go:129:1:normalizePendingHint	agent/active_session.go	139	strings.TrimSpace	syntax-only; target not type-resolved
agent/active_session.go:144:1:pendingHintFromAssistantReply	agent/active_session.go	145	strings.TrimSpace	syntax-only; target not type-resolved
agent/active_session.go:144:1:pendingHintFromAssistantReply	agent/active_session.go	151	strings.Contains	syntax-only; target not type-resolved
agent/active_session.go:144:1:pendingHintFromAssistantReply	agent/active_session.go	151	strings.Contains	syntax-only; target not type-resolved
agent/active_session.go:144:1:pendingHintFromAssistantReply	agent/active_session.go	151	strings.ToLower	syntax-only; target not type-resolved
agent/active_session.go:144:1:pendingHintFromAssistantReply	agent/active_session.go	153	strings.Contains	syntax-only; target not type-resolved
agent/active_session.go:144:1:pendingHintFromAssistantReply	agent/active_session.go	153	strings.Contains	syntax-only; target not type-resolved
